macrozona_origen,bucket,macrozona_destino,P
0,0,0,0.6197117067931089
0,0,1,0.21385207911743587
0,0,2,0.15857313259232445
1,0,0,0.41590314136125656
1,0,1,0.5194835296684118
1,0,2,0.05176974258289703
2,0,0,0.5632400110877915
2,0,1,0.0999485209678058
2,0,2,0.33207935690809015
3,0,0,0.292326431181486
3,0,1,0.41169305724725946
3,0,2,0.0535931790499391
3,0,3,0.24238733252131547
