macrozona_origen,bucket,macrozona_destino,P
0,0,0,0.6246231696813093
0,0,1,0.21554694229112834
0,0,2,0.15982988802756243
1,0,0,0.42131432833347143
1,0,1,0.5262423689953316
1,0,2,0.0524433026711969
2,0,0,0.5659179978912606
2,0,1,0.10042373724312173
2,0,2,0.33365826486561756
3,0,0,0.29232643118148605
3,0,1,0.41169305724725946
3,0,2,0.053593179049939106
3,0,3,0.24238733252131542
