origen_id,origen_zona,destino_id,destino_zona,distancia_geodesica_km,distancia_manhattan_aprox_km,distancia_manhattan_exacta_km,duracion_normal_min,duracion_hora_punta_min,duracion_hora_valle_min
4,Alphabet City,246,West Chelsea/Hudson Yards,3.999,5.58,5.576,13.4,16.7,11.2
4,Alphabet City,249,West Village,2.497,3.404,3.378,8.1,10.1,6.8
4,Alphabet City,261,World Trade Center,3.452,4.687,4.684,11.2,14.1,9.4
4,Alphabet City,262,Yorkville East,6.34,8.381,8.326,20.0,25.0,16.7
4,Alphabet City,263,Yorkville West,6.491,8.313,8.252,19.8,24.8,16.5
12,Battery Park,4,Alphabet City,3.997,5.59,5.581,13.4,16.7,11.2
12,Battery Park,12,Battery Park,0.0,0.0,0.0,0.0,0.0,0.0
12,Battery Park,13,Battery Park City,1.011,1.053,1.064,2.6,3.2,2.1
12,Battery Park,24,Bloomingdale,11.782,15.249,15.143,36.3,45.4,30.3
12,Battery Park,41,Central Harlem,12.499,16.717,16.613,39.9,49.8,33.2
12,Battery Park,42,Central Harlem North,14.278,19.157,19.038,45.7,57.1,38.1
12,Battery Park,43,Central Park,9.79,13.079,12.998,31.2,39.0,26.0
12,Battery Park,45,Chinatown,1.811,2.536,2.532,6.1,7.6,5.1
12,Battery Park,48,Clinton East,6.935,8.769,8.705,20.9,26.1,17.4
12,Battery Park,50,Clinton West,7.237,8.762,8.691,20.9,26.1,17.4
12,Battery Park,68,East Chelsea,5.221,6.378,6.328,15.2,19.0,12.7
12,Battery Park,74,East Harlem North,12.752,17.551,17.456,41.9,52.4,34.9
12,Battery Park,75,East Harlem South,11.325,15.598,15.515,37.2,46.5,31.0
12,Battery Park,79,East Village,3.711,5.257,5.239,12.6,15.7,10.5
12,Battery Park,87,Financial District North,0.805,1.114,1.113,2.7,3.3,2.2
12,Battery Park,88,Financial District South,0.345,0.39,0.391,0.9,1.2,0.8
12,Battery Park,90,Flatiron,4.642,5.946,5.905,14.2,17.7,11.8
12,Battery Park,100,Garment District,6.054,7.889,7.836,18.8,23.5,15.7
12,Battery Park,103,Governor's Island/Ellis Island/Liberty Island,2.902,3.979,3.976,9.5,11.9,8.0
12,Battery Park,107,Gramercy,4.609,6.439,6.41,15.4,19.2,12.8
12,Battery Park,113,Greenwich Village North,3.749,5.096,5.068,12.2,15.2,10.1
12,Battery Park,114,Greenwich Village South,3.211,4.364,4.34,10.4,13.0,8.7
12,Battery Park,116,Hamilton Heights,14.895,19.47,19.337,46.4,58.0,38.7
12,Battery Park,120,Highbridge Park,17.512,23.211,23.057,55.3,69.2,46.1
12,Battery Park,125,Hudson Sq,2.681,3.278,3.252,7.8,9.8,6.5
12,Battery Park,127,Inwood,19.854,26.289,26.113,62.7,78.3,52.2
12,Battery Park,128,Inwood Hill Park,20.329,26.559,26.372,63.3,79.1,52.7
12,Battery Park,137,Kips Bay,5.313,7.483,7.452,17.9,22.4,14.9
12,Battery Park,140,Lenox Hill East,8.639,12.112,12.057,28.9,36.2,24.1
12,Battery Park,141,Lenox Hill West,8.534,11.858,11.8,28.3,35.4,23.6
12,Battery Park,142,Lincoln Square East,8.36,10.739,10.663,25.6,32.0,21.3
12,Battery Park,143,Lincoln Square West,8.445,10.478,10.397,25.0,31.2,20.8
12,Battery Park,144,Little Italy/NoLiTa,2.54,3.577,3.562,8.5,10.7,7.1
12,Battery Park,148,Lower East Side,2.738,3.872,3.862,9.3,11.6,7.7
12,Battery Park,151,Manhattan Valley,11.285,14.575,14.473,34.7,43.4,28.9
12,Battery Park,152,Manhattanville,13.798,18.02,17.896,43.0,53.7,35.8
12,Battery Park,153,Marble Hill,21.166,28.146,27.959,67.1,83.9,55.9
12,Battery Park,158,Meatpacking/West Village West,3.607,4.121,4.084,9.8,12.3,8.2
12,Battery Park,161,Midtown Center,6.903,9.333,9.279,22.3,27.8,18.6
12,Battery Park,162,Midtown East,6.996,9.638,9.588,23.0,28.8,19.2
12,Battery Park,163,Midtown North,7.544,10.053,9.991,24.0,30.0,20.0
12,Battery Park,164,Midtown South,5.681,7.649,7.605,18.3,22.8,15.2
12,Battery Park,166,Morningside Heights,12.67,16.396,16.281,39.1,48.8,32.6
12,Battery Park,170,Murray Hill,5.879,8.124,8.083,19.4,24.2,16.2
12,Battery Park,186,Penn Station/Madison Sq West,5.423,7.022,6.974,16.7,20.9,13.9
12,Battery Park,194,Randalls Island,12.436,17.506,17.43,41.8,52.3,34.9
12,Battery Park,202,Roosevelt Island,8.578,12.121,12.073,29.0,36.2,24.1
12,Battery Park,209,Seaport,1.214,1.691,1.689,4.1,5.1,3.4
12,Battery Park,211,SoHo,2.61,3.517,3.497,8.4,10.5,7.0
12,Battery Park,224,Stuy Town/Peter Cooper Village,4.596,6.517,6.497,15.6,19.5,13.0
12,Battery Park,229,Sutton Place/Turtle Bay North,7.336,10.255,10.208,24.5,30.6,20.4
12,Battery Park,230,Times Sq/Theatre District,6.849,8.979,8.92,21.4,26.8,17.8
12,Battery Park,231,TriBeCa/Civic Center,1.77,2.299,2.284,5.5,6.9,4.6
12,Battery Park,232,Two Bridges/Seward Park,3.045,4.074,4.073,9.8,12.2,8.1
12,Battery Park,233,UN/Turtle Bay South,6.46,9.049,9.008,21.6,27.0,18.0
12,Battery Park,234,Union Sq,4.663,6.284,6.248,15.0,18.7,12.5
12,Battery Park,236,Upper East Side North,9.925,13.578,13.503,32.4,40.5,27.0
12,Battery Park,237,Upper East Side South,8.424,11.533,11.47,27.5,34.4,22.9
12,Battery Park,238,Upper West Side North,10.49,13.466,13.37,32.1,40.1,26.7
12,Battery Park,239,Upper West Side South,9.522,12.132,12.044,28.9,36.1,24.1
12,Battery Park,243,Washington Heights North,18.489,24.144,23.976,57.5,71.9,48.0
12,Battery Park,244,Washington Heights South,16.633,21.707,21.556,51.7,64.7,43.1
12,Battery Park,246,West Chelsea/Hudson Yards,5.677,6.572,6.514,15.6,19.5,13.0
12,Battery Park,249,West Village,3.672,4.589,4.555,10.9,13.7,9.1
12,Battery Park,261,World Trade Center,0.72,0.903,0.897,2.2,2.7,1.8
12,Battery Park,262,Yorkville East,9.986,13.971,13.906,33.4,41.7,27.8
12,Battery Park,263,Yorkville West,10.031,13.903,13.833,33.2,41.5,27.7
13,Battery Park City,4,Alphabet City,3.551,4.625,4.627,11.1,13.9,9.3
13,Battery Park City,12,Battery Park,1.011,1.053,1.064,2.6,3.2,2.1
13,Battery Park City,13,Battery Park City,0.0,0.0,0.0,0.0,0.0,0.0
13,Battery Park City,24,Bloomingdale,10.863,14.283,14.189,34.1,42.6,28.4
13,Battery Park City,41,Central Harlem,11.618,15.752,15.659,37.6,47.0,31.3
13,Battery Park City,42,Central Harlem North,13.4,18.192,18.084,43.4,54.3,36.2
