origen_id,4,12,13,24,41,42,43,45,48,50,68,74,75,79,87,88,90,100,103,107,113,114,116,120,125,127,128,137,140,141,142,143,144,148,151,152,153,158,161,162,163,164,166,170,186,194,202,209,211,224,229,230,231,232,233,234,236,237,238,239,243,244,246,249,261,262,263
4,0.0,3.997,3.551,8.74,9.207,10.931,6.592,2.185,4.412,4.961,3.357,9.225,7.816,0.871,3.193,3.695,2.662,3.452,6.892,1.57,1.762,1.798,11.716,14.21,2.594,16.537,17.091,1.853,5.0,5.015,5.553,5.868,1.715,1.292,8.274,10.645,17.813,2.981,3.807,3.678,4.517,2.842,9.604,2.668,3.043,8.679,4.812,2.783,2.076,0.897,3.796,4.051,2.695,1.125,2.957,2.166,6.516,5.073,7.553,6.688,15.271,13.439,3.999,2.497,3.452,6.34,6.491
12,3.997,0.0,1.011,11.782,12.499,14.278,9.79,1.811,6.935,7.237,5.221,12.752,11.325,3.711,0.805,0.345,4.642,6.054,2.902,4.609,3.749,3.211,14.895,17.512,2.681,19.854,20.329,5.313,8.639,8.534,8.36,8.445,2.54,2.738,11.285,13.798,21.166,3.607,6.903,6.996,7.544,5.681,12.67,5.879,5.423,12.436,8.578,1.214,2.61,4.596,7.336,6.849,1.77,3.045,6.46,4.663,9.925,8.424,10.49,9.522,18.489,16.633,5.677,3.672,0.72,9.986,10.031
13,3.551,1.011,0.0,10.863,11.618,13.4,8.91,1.516,6.0,6.273,4.265,11.924,10.5,3.079,0.929,1.038,3.726,5.151,3.487,3.86,2.93,2.403,13.984,16.616,1.741,18.956,19.415,4.597,7.878,7.74,7.436,7.494,1.894,2.262,10.364,12.887,20.273,2.623,6.049,6.183,6.665,4.826,11.75,5.08,4.515,11.687,7.865,1.1,1.8,3.994,6.568,5.95,0.941,2.809,5.706,3.816,9.087,7.591,9.564,8.59,17.576,15.719,4.695,2.74,0.413,9.212,9.226
24,8.74,11.782,10.863,0.0,1.226,2.76,2.165,10.316,4.867,4.692,6.619,2.376,2.13,8.435,11.147,11.62,7.142,5.73,14.157,7.402,8.081,8.609,3.127,5.788,9.122,8.114,8.553,6.896,4.152,3.92,3.426,3.441,9.387,9.467,0.5,2.033,9.44,8.291,4.988,5.062,4.293,6.158,0.889,6.121,6.359,3.659,4.639,10.808,9.19,7.846,5.024,4.941,10.012,9.8,5.796,7.162,2.496,3.704,1.307,2.287,6.714,4.858,6.307,8.123,11.063,3.305,2.852
41,9.207,12.499,11.618,1.226,0.0,1.783,2.709,10.943,5.695,5.621,7.443,1.228,1.658,9.007,11.824,12.313,7.897,6.471,14.987,7.991,8.757,9.293,2.529,5.027,9.88,7.368,7.89,7.408,4.324,4.211,4.259,4.398,10.035,10.055,1.59,1.529,8.671,9.107,5.605,5.582,4.956,6.82,1.051,6.69,7.107,2.696,4.714,11.466,9.89,8.331,5.414,5.67,10.735,10.305,6.256,7.838,2.697,4.147,2.31,3.231,6.064,4.234,7.205,8.887,11.787,3.18,2.839
42,10.931,14.278,13.4,2.76,1.783,0.0,4.49,12.709,7.472,7.377,9.223,1.92,3.165,10.763,13.598,14.089,9.68,8.253,16.769,9.753,10.533,11.07,1.172,3.279,11.663,5.61,6.167,9.153,5.978,5.916,6.032,6.141,11.806,11.813,3.229,1.098,6.902,10.889,7.379,7.339,6.737,8.598,2.023,8.453,8.89,3.32,6.306,13.237,11.668,10.064,7.136,7.453,12.515,12.037,7.992,9.616,4.418,5.899,4.014,4.971,4.366,2.605,8.973,10.67,13.567,4.725,4.47
43,6.592,9.79,8.91,2.165,2.709,4.49,0.0,8.249,3.041,3.08,4.766,3.159,1.869,6.33,9.119,9.606,5.193,3.768,12.294,5.305,6.05,6.585,5.15,7.728,7.174,10.07,10.571,4.759,2.096,1.796,1.669,2.0,7.334,7.373,1.734,4.065,11.378,6.419,2.902,2.921,2.247,4.113,3.013,4.009,4.404,3.584,2.638,8.764,7.181,5.702,2.86,2.968,8.025,7.666,3.64,5.13,0.756,1.539,1.204,1.116,8.735,6.886,4.587,6.183,9.078,1.764,1.295
45,2.185,1.811,1.516,10.316,10.943,12.709,8.249,0.0,5.574,5.977,3.997,11.109,9.682,1.975,1.009,1.516,3.313,4.627,4.708,2.956,2.258,1.765,13.393,15.97,1.727,18.311,18.819,3.606,6.937,6.87,6.937,7.108,0.942,0.945,9.827,12.302,19.611,2.669,5.347,5.373,6.027,4.158,11.201,4.256,4.031,10.708,6.835,0.599,1.301,2.818,5.652,5.39,1.012,1.303,4.773,3.163,8.31,6.814,9.052,8.11,16.983,15.132,4.563,2.488,1.31,8.289,8.371
48,4.412,6.935,6.0,4.867,5.695,7.472,3.041,5.574,0.0,0.629,1.755,6.19,4.833,3.86,6.335,6.792,2.298,0.975,9.304,2.866,3.317,3.819,7.993,10.641,4.262,12.975,13.419,2.672,2.986,2.603,1.446,1.534,4.632,4.811,4.367,6.896,14.297,3.428,1.128,1.601,1.064,1.57,5.753,1.875,1.543,6.366,3.369,6.02,4.373,3.56,2.174,0.548,5.169,5.308,2.136,2.434,3.429,2.163,3.565,2.59,11.58,9.725,1.555,3.265,6.215,3.961,3.757
50,4.961,7.237,6.273,4.692,5.621,7.377,3.08,5.977,0.629,0.0,2.019,6.232,4.935,4.358,6.682,7.118,2.665,1.511,9.481,3.398,3.738,4.213,7.812,10.479,4.557,12.8,13.213,3.269,3.412,2.998,1.412,1.252,5.038,5.265,4.194,6.722,14.128,3.657,1.732,2.196,1.497,2.135,5.565,2.488,1.983,6.559,3.845,6.389,4.734,4.13,2.744,1.167,5.489,5.81,2.763,2.903,3.584,2.505,3.387,2.411,11.378,9.529,1.62,3.576,6.518,4.244,3.977
68,3.357,5.221,4.265,6.619,7.443,9.223,4.766,3.997,1.755,2.019,0.0,7.887,6.499,2.595,4.666,5.1,0.727,1.097,7.55,1.859,1.823,2.241,9.746,12.396,2.54,14.729,15.169,2.168,4.259,3.975,3.201,3.229,3.069,3.362,6.119,8.65,16.052,1.673,2.158,2.502,2.592,1.247,7.504,1.811,0.632,7.924,4.477,4.382,2.729,2.698,3.078,1.834,3.47,4.005,2.495,1.202,5.075,3.661,5.314,4.336,13.331,11.476,0.643,1.558,4.501,5.447,5.329
74,9.225,12.752,11.924,2.376,1.228,1.92,3.159,11.109,6.19,6.232,7.887,0.0,1.428,9.14,12.037,12.538,8.253,6.846,15.359,8.161,9.008,9.545,3.021,5.089,10.209,7.367,7.983,7.51,4.226,4.24,4.823,5.085,10.236,10.19,2.625,2.325,8.612,9.514,5.878,5.756,5.309,7.1,2.257,6.875,7.473,1.56,4.489,11.66,10.15,8.384,5.465,6.06,11.011,10.345,6.341,8.108,2.838,4.333,3.191,3.974,6.224,4.515,7.741,9.236,12.053,2.907,2.742
75,7.816,11.325,10.5,2.13,1.658,3.165,1.869,9.682,4.833,4.935,6.499,1.428,0.0,7.715,10.61,11.111,6.841,5.443,13.942,6.734,7.582,8.118,4.116,6.427,8.789,8.737,9.323,6.086,2.827,2.817,3.526,3.865,8.809,8.765,2.088,3.179,10.001,8.11,4.46,4.329,3.91,5.678,2.547,5.447,6.065,1.789,3.142,10.233,8.724,6.967,4.042,4.667,9.585,8.933,4.917,6.684,1.426,2.909,2.312,2.856,7.53,5.753,6.388,7.821,10.627,1.565,1.325
79,0.871,3.711,3.079,8.435,9.007,10.763,6.33,1.975,3.86,4.358,2.595,9.14,7.715,0.0,2.943,3.454,1.876,2.885,6.537,1.034,0.896,0.97,11.481,14.033,1.826,16.371,16.894,1.632,4.962,4.9,5.123,5.371,1.191,1.051,7.954,10.395,17.665,2.114,3.448,3.426,4.147,2.328,9.314,2.322,2.382,8.739,4.871,2.547,1.382,0.917,3.679,3.579,2.152,1.452,2.8,1.463,6.354,4.865,7.199,6.287,15.062,13.216,3.236,1.626,3.074,6.314,6.4
87,3.193,0.805,0.929,11.147,11.824,13.598,9.119,1.009,6.335,6.682,4.666,12.037,10.61,2.943,0.0,0.512,4.038,5.422,3.707,3.877,3.071,2.539,14.247,16.847,2.163,19.189,19.68,4.562,7.894,7.807,7.738,7.861,1.801,1.945,10.653,13.152,20.496,3.137,6.22,6.284,6.879,5.007,12.035,5.164,4.801,11.68,7.814,0.41,1.962,3.812,6.598,6.207,1.218,2.247,5.719,3.992,9.221,7.721,9.866,8.908,17.841,15.986,5.172,3.108,0.534,9.244,9.307
88,3.695,0.345,1.038,11.62,12.313,14.089,9.606,1.516,6.792,7.118,5.1,12.538,11.111,3.454,0.512,0.0,4.493,5.891,3.224,4.381,3.556,3.02,14.726,17.332,2.569,19.675,20.159,5.071,8.402,8.311,8.205,8.311,2.305,2.455,11.125,13.63,20.983,3.524,6.71,6.783,7.362,5.493,12.509,5.664,5.265,12.191,8.325,0.918,2.431,4.324,7.104,6.681,1.63,2.719,6.226,4.475,9.719,8.218,10.335,9.372,18.32,16.465,5.583,3.543,0.654,9.752,9.81
90,2.662,4.642,3.726,7.142,7.897,9.68,5.193,3.313,2.298,2.665,0.727,8.253,6.841,1.876,4.038,4.493,0.0,1.426,7.11,1.248,1.1,1.548,10.26,12.89,1.985,15.23,15.693,1.742,4.4,4.177,3.718,3.823,2.375,2.642,6.645,9.163,16.547,1.295,2.389,2.623,2.955,1.218,8.03,1.675,0.79,8.162,4.529,3.731,2.078,2.076,3.13,2.227,2.873,3.278,2.396,0.591,5.417,3.944,5.849,4.881,13.853,11.997,1.362,0.99,3.922,5.668,5.611
100,3.452,6.054,5.151,5.73,6.471,8.253,3.768,4.627,0.975,1.511,1.097,6.846,5.443,2.885,5.422,5.891,1.426,0.0,8.53,1.896,2.371,2.888,8.841,11.466,3.411,13.806,14.275,1.785,3.167,2.878,2.317,2.495,3.687,3.844,5.234,7.744,15.122,2.668,1.062,1.432,1.538,0.628,6.618,1.08,0.637,6.834,3.409,5.093,3.462,2.62,2.028,0.8,4.284,4.334,1.6,1.47,4.017,2.576,4.444,3.488,12.436,10.579,1.286,2.416,5.336,4.352,4.247
103,6.892,2.902,3.487,14.157,14.987,16.769,12.294,4.708,9.304,9.481,7.55,15.359,13.942,6.537,3.707,3.224,7.11,8.53,0.0,7.347,6.408,5.886,17.284,19.942,5.155,22.272,22.694,8.083,11.36,11.209,10.749,10.73,5.346,5.618,13.658,16.19,23.597,5.88,9.482,9.646,10.064,8.266,15.038,8.554,7.896,15.168,11.352,4.114,5.287,7.443,10.049,9.327,4.427,5.943,9.19,7.272,12.521,11.035,12.851,11.87,20.859,19.008,7.862,6.124,3.467,12.688,12.685
107,1.57,4.609,3.86,7.402,7.991,9.753,5.305,2.956,2.866,3.398,1.859,8.161,6.734,1.034,3.877,4.381,1.248,1.896,7.347,0.0,0.986,1.468,10.455,13.018,2.299,15.358,15.873,0.754,4.032,3.93,4.093,4.357,2.077,2.069,6.921,9.367,16.656,2.115,2.415,2.417,3.113,1.308,8.282,1.301,1.477,7.836,4.006,3.499,2.06,0.84,2.727,2.553,2.92,2.455,1.853,0.667,5.354,3.858,6.165,5.255,14.04,12.191,2.489,1.609,3.93,5.377,5.429
