origen_id,4,12,13,24,41,42,43,45,48,50,68,74,75,79,87,88,90,100,103,107,113,114,116,120,125,127,128,137,140,141,142,143,144,148,151,152,153,158,161,162,163,164,166,170,186,194,202,209,211,224,229,230,231,232,233,234,236,237,238,239,243,244,246,249,261,262,263
50,6.26,8.762,7.796,6.487,7.955,10.395,4.317,6.226,0.892,0.0,2.383,8.79,6.837,5.068,7.647,8.372,2.816,1.952,12.741,4.207,3.807,4.397,10.708,14.449,5.484,17.527,17.797,4.448,3.517,3.096,1.977,1.716,5.185,5.611,5.814,9.258,19.384,4.641,2.393,2.996,1.695,2.809,7.634,3.467,2.199,8.745,4.322,7.07,5.245,5.396,3.605,1.642,6.463,6.746,3.911,3.273,4.817,2.771,4.704,3.37,15.382,12.945,2.19,4.172,7.858,5.209,5.141
68,4.69,6.378,5.413,8.87,10.339,12.779,6.701,4.143,2.391,2.383,0.0,11.173,9.22,3.498,5.264,5.989,0.933,1.511,10.358,2.637,2.236,2.445,13.092,16.832,3.101,19.911,20.18,2.878,5.733,5.48,4.361,4.1,3.312,4.04,8.197,11.641,21.768,2.257,2.954,3.26,3.675,1.271,10.017,1.897,0.644,11.128,5.742,4.687,2.862,3.826,3.877,2.601,4.079,5.176,2.67,1.702,7.2,5.155,7.088,5.754,17.766,15.328,0.89,1.789,5.475,7.593,7.525
74,11.961,17.551,16.586,2.48,1.537,2.188,4.472,15.015,8.782,8.79,11.173,0.0,1.953,12.294,16.437,17.161,11.605,9.662,21.53,11.112,12.455,13.187,3.819,5.659,14.273,8.738,9.007,10.069,5.439,5.693,6.812,7.073,13.975,13.679,2.976,3.263,10.595,13.43,8.219,7.913,7.498,9.902,2.995,9.427,10.529,2.212,5.43,15.86,14.035,11.034,7.296,8.572,15.252,13.477,8.503,11.267,3.973,6.018,4.085,5.419,6.593,4.844,10.979,12.962,16.648,3.58,3.648
75,10.008,15.598,14.633,3.005,2.061,3.559,2.519,13.062,6.829,6.837,9.22,1.953,0.0,10.341,14.484,15.208,9.652,7.709,19.577,9.159,10.502,11.234,4.343,7.612,12.32,10.691,10.96,8.116,3.486,3.74,4.859,5.12,12.022,11.726,2.788,3.787,12.548,11.477,6.266,5.96,5.545,7.949,3.52,7.474,8.576,1.908,3.477,13.907,12.082,9.081,5.343,6.619,13.299,11.524,6.55,9.314,2.02,4.065,2.508,3.466,8.546,6.108,9.026,11.009,14.695,1.627,1.695
79,1.192,5.257,4.292,9.992,11.46,13.9,7.822,2.721,4.176,5.068,3.498,12.294,10.341,0.0,4.143,4.867,2.565,3.116,9.236,1.182,1.262,1.053,14.213,17.953,1.979,21.032,21.301,2.226,6.855,6.601,5.482,5.511,1.681,1.385,9.318,12.763,22.889,2.782,4.076,4.381,4.796,2.392,11.139,2.867,2.87,12.249,6.864,3.566,1.74,1.26,4.998,3.722,2.958,1.678,3.792,1.796,8.321,6.276,8.209,6.875,18.887,16.45,4.388,2.212,4.354,8.714,8.646
87,4.476,1.114,1.31,14.134,15.603,18.042,11.964,1.422,7.655,7.647,5.264,16.437,14.484,4.143,0.0,0.725,4.832,6.774,5.094,5.324,3.982,3.25,18.355,22.096,2.163,25.175,25.444,6.368,10.997,10.744,9.624,9.364,2.462,2.757,13.461,16.905,27.032,3.26,8.218,8.523,8.939,6.535,15.281,7.009,5.907,16.392,11.006,0.577,2.402,5.403,9.141,7.864,1.25,2.96,7.934,5.17,12.464,10.419,12.352,11.017,23.03,20.592,5.457,3.475,0.728,12.857,12.789
88,5.2,0.39,1.351,14.859,16.327,18.767,12.689,2.146,8.379,8.372,5.989,17.161,15.208,4.867,0.725,0.0,5.556,7.499,4.369,6.049,4.706,3.975,19.08,22.821,2.888,25.899,26.169,7.093,11.722,11.468,10.349,10.088,3.187,3.482,14.186,17.63,27.756,3.731,8.943,9.248,9.663,7.26,16.006,7.734,6.632,17.116,11.731,1.302,3.127,6.127,9.866,8.589,1.909,3.684,8.659,5.895,13.189,11.143,13.076,11.742,23.754,21.317,6.182,4.2,0.77,13.581,13.513
90,3.757,5.946,4.981,9.303,10.771,13.211,7.133,3.41,2.823,2.816,0.933,11.605,9.652,2.565,4.832,5.556,0.0,1.943,9.925,1.704,1.303,1.582,13.524,17.264,2.668,20.343,20.612,1.945,6.166,5.912,4.793,4.532,2.379,3.107,8.629,12.073,22.2,1.825,3.386,3.692,4.107,1.703,10.449,2.178,1.076,11.56,6.175,4.255,2.429,2.893,4.309,3.033,3.647,4.243,3.102,0.769,7.632,5.587,7.52,6.186,18.198,15.76,1.823,1.357,5.043,8.025,7.957
100,4.308,7.889,6.924,7.36,8.828,11.268,5.19,5.353,1.06,1.952,1.511,9.662,7.709,3.116,6.774,7.499,1.943,0.0,11.868,2.255,2.793,3.525,11.581,15.322,4.611,18.4,18.67,2.496,4.223,3.969,2.85,2.589,4.312,4.017,6.686,10.131,20.257,3.768,1.444,1.749,2.164,0.857,8.507,1.515,0.867,9.617,4.232,6.197,4.372,3.444,2.366,1.09,5.59,4.794,1.959,1.605,5.689,3.644,5.577,4.243,16.255,13.818,1.317,3.299,6.986,6.082,6.014
103,9.569,3.979,4.945,19.228,20.696,23.136,17.058,6.515,12.748,12.741,10.358,21.53,19.577,9.236,5.094,4.369,9.925,11.868,0.0,10.418,9.075,8.343,23.449,27.19,7.257,30.268,30.538,11.462,16.091,15.837,14.718,14.457,7.556,7.851,18.555,21.999,32.125,8.1,13.312,13.617,14.032,11.629,20.375,12.103,11.001,21.485,16.1,5.671,7.496,10.496,14.235,12.958,6.278,8.053,13.028,10.264,17.557,15.512,17.445,16.111,28.123,25.686,10.551,8.569,4.883,17.95,17.882
107,2.053,6.439,5.474,8.81,10.278,12.718,6.64,3.903,3.315,4.207,2.637,11.112,9.159,1.182,5.324,6.049,1.704,2.255,10.418,0.0,1.343,2.075,13.031,16.772,3.161,19.85,20.12,1.044,5.673,5.419,4.3,4.65,2.862,2.567,8.136,11.581,21.707,2.318,2.894,3.199,3.614,1.398,9.957,1.685,2.008,11.067,5.682,4.747,2.922,1.189,3.816,2.565,4.14,2.54,2.61,0.934,7.139,5.094,7.027,5.693,17.705,15.268,3.527,1.849,5.536,7.532,7.464
113,2.453,5.096,4.131,10.153,11.621,14.061,7.983,2.56,3.673,3.807,2.236,12.455,10.502,1.262,3.982,4.706,1.303,2.793,9.075,1.343,0.0,0.732,14.374,18.114,1.818,21.193,21.462,2.386,7.016,6.762,5.643,5.382,1.52,1.804,9.479,12.923,23.05,1.52,4.236,4.542,4.957,2.553,11.299,3.028,1.926,12.41,7.025,3.405,1.579,1.589,5.159,3.883,2.797,2.94,3.952,1.188,8.482,6.437,8.37,7.036,19.048,16.61,3.126,0.95,4.193,8.875,8.807
114,2.244,4.364,3.399,10.885,12.353,14.793,8.715,1.828,4.405,4.397,2.445,13.187,11.234,1.053,3.25,3.975,1.582,3.525,8.343,2.075,0.732,0.0,15.106,18.846,1.087,21.925,22.194,3.118,7.747,7.494,6.375,6.114,0.866,1.595,10.211,13.655,23.782,1.729,4.968,5.274,5.689,3.285,12.031,3.76,2.658,13.142,7.757,2.673,0.848,2.153,5.891,4.615,2.065,2.731,4.684,1.92,9.214,7.169,9.102,7.768,19.78,17.342,3.335,1.159,3.461,9.607,9.539
116,13.88,19.47,18.505,4.221,2.753,1.631,6.391,16.934,10.701,10.708,13.092,3.819,4.343,14.213,18.355,19.08,13.524,11.581,23.449,13.031,14.374,15.106,0.0,3.741,16.192,6.819,7.089,11.987,7.358,7.612,8.731,8.992,15.893,15.598,4.895,1.45,8.676,15.349,10.137,9.832,9.417,11.821,3.074,11.346,12.448,6.031,7.349,17.778,15.953,12.953,9.215,10.491,17.171,15.396,10.421,13.186,5.892,7.937,6.004,7.338,4.674,2.237,12.898,14.88,18.567,5.841,5.567
120,17.62,23.211,22.245,7.962,6.493,4.054,10.132,20.675,14.441,14.449,16.832,5.659,7.612,17.953,22.096,22.821,17.264,15.322,27.19,16.772,18.114,18.846,3.741,0.0,19.933,3.078,3.348,15.728,11.099,11.352,12.472,12.732,19.634,19.339,8.635,5.191,4.936,19.089,13.878,13.573,13.157,15.561,6.815,15.087,16.189,6.654,11.09,21.519,19.694,16.693,12.955,14.232,20.912,19.136,14.162,16.926,9.632,11.677,9.745,11.079,1.384,1.504,16.639,18.621,22.307,9.24,9.307
125,2.876,3.278,2.312,11.971,13.439,15.879,9.801,2.329,5.491,5.484,3.101,14.273,12.32,1.979,2.163,2.888,2.668,4.611,7.257,3.161,1.818,1.087,16.192,19.933,0.0,23.011,23.281,4.205,8.834,8.58,7.461,7.2,1.498,2.226,11.298,14.742,24.868,1.098,6.055,6.36,6.775,4.372,13.118,4.846,3.744,14.228,8.843,2.236,0.772,3.239,6.978,5.701,0.979,3.362,5.771,3.007,10.301,8.255,10.188,8.854,20.866,18.429,3.294,1.312,2.374,10.693,10.625
127,20.699,26.289,25.324,11.04,9.572,7.132,13.21,23.753,17.52,17.527,19.911,8.738,10.691,21.032,25.175,25.899,20.343,18.4,30.268,19.85,21.193,21.925,6.819,3.078,23.011,0.0,1.13,18.806,14.177,14.431,15.55,15.811,22.713,22.417,11.714,8.269,1.857,22.168,16.956,16.651,16.236,18.64,9.893,18.165,19.267,8.783,14.168,24.598,22.772,19.772,16.034,17.31,23.99,22.215,17.24,20.005,12.711,14.756,12.823,14.157,2.145,4.582,19.717,21.7,25.386,12.318,12.386
128,20.968,26.559,25.593,11.31,9.841,7.402,13.48,24.023,17.789,17.797,20.18,9.007,10.96,21.301,25.444,26.169,20.612,18.67,30.538,20.12,21.462,22.194,7.089,3.348,23.281,1.13,0.0,19.076,14.447,14.7,15.82,16.08,22.982,22.687,11.983,8.539,1.588,22.437,17.226,16.921,16.505,18.909,10.163,18.435,19.537,9.052,14.438,24.867,23.042,20.041,16.303,17.58,24.26,22.484,17.51,20.274,12.98,15.025,13.093,14.427,2.414,4.852,19.987,21.969,25.655,12.587,12.655
137,1.892,7.483,6.517,7.766,9.235,11.674,5.596,4.947,3.556,4.448,2.878,10.069,8.116,2.226,6.368,7.093,1.945,2.496,11.462,1.044,2.386,3.118,11.987,15.728,4.205,18.806,19.076,0.0,4.629,4.376,4.113,4.891,3.906,3.611,7.093,10.537,20.664,3.361,2.055,2.155,2.753,1.639,8.913,0.981,2.25,10.024,4.638,5.791,3.966,0.965,2.773,2.806,5.184,3.408,1.566,1.198,6.096,4.051,5.983,5.013,16.662,14.224,3.768,2.893,6.579,6.488,6.42
140,6.522,12.112,11.146,4.963,4.605,7.045,2.806,9.576,3.343,3.517,5.733,5.439,3.486,6.855,10.997,11.722,6.166,4.223,16.091,5.673,7.016,7.747,7.358,11.099,8.834,14.177,14.447,4.629,0.0,0.579,3.182,3.96,8.535,8.24,4.747,5.908,16.034,7.991,2.779,2.474,2.058,4.462,5.478,3.988,5.09,5.394,0.805,10.42,8.595,5.595,1.856,3.133,9.813,8.038,3.063,5.827,1.853,1.274,4.467,4.082,12.032,9.595,5.54,7.522,11.208,1.859,1.791
