origen_id,4,12,13,24,41,42,43,45,48,50,68,74,75,79,87,88,90,100,103,107,113,114,116,120,125,127,128,137,140,141,142,143,144,148,151,152,153,158,161,162,163,164,166,170,186,194,202,209,211,224,229,230,231,232,233,234,236,237,238,239,243,244,246,249,261,262,263
4,0.0,5.581,4.627,9.562,11.032,13.457,7.417,3.049,5.398,6.287,4.686,11.876,9.935,1.183,4.467,5.189,3.75,4.328,9.556,2.059,2.438,2.219,13.756,17.476,2.833,20.532,20.792,1.871,6.477,6.219,5.982,6.754,2.019,1.718,8.893,12.316,22.379,3.939,3.91,4.007,4.617,3.471,10.7,2.822,4.07,11.849,6.492,3.892,2.084,0.917,4.628,4.653,3.297,1.507,3.428,2.988,7.923,5.89,7.79,6.9,18.395,15.976,5.576,3.378,4.684,8.326,8.252
12,5.581,0.0,1.064,15.143,16.613,19.038,12.998,2.532,8.705,8.691,6.328,17.456,15.515,5.239,1.113,0.391,5.905,7.836,3.976,6.41,5.068,4.34,19.337,23.057,3.252,26.113,26.372,7.452,12.057,11.8,10.663,10.397,3.562,3.862,14.473,17.896,27.959,4.084,9.279,9.588,9.991,7.605,16.281,8.083,6.974,17.43,12.073,1.689,3.497,6.497,10.208,8.92,2.284,4.073,9.008,6.248,13.503,11.47,13.37,12.044,23.976,21.556,6.514,4.555,0.897,13.906,13.833
13,4.627,1.064,0.0,14.189,15.659,18.084,12.044,1.578,7.751,7.737,5.374,16.502,14.561,4.285,1.304,1.356,4.951,6.883,4.93,5.456,4.114,3.386,18.383,22.103,2.298,25.159,25.418,6.498,11.103,10.846,9.71,9.444,2.608,2.908,13.519,16.943,27.005,3.13,8.325,8.634,9.037,6.651,15.327,7.129,6.02,16.476,11.119,1.37,2.543,5.543,9.254,7.966,1.33,3.12,8.054,5.294,12.549,10.516,12.416,11.09,23.022,20.602,5.56,3.601,0.581,12.952,12.879
24,9.562,15.143,14.189,0.0,1.47,3.895,2.183,12.611,6.438,6.452,8.815,2.435,2.988,9.904,14.029,14.752,9.238,7.306,19.118,8.733,10.075,10.802,4.194,7.914,11.89,10.97,11.23,7.691,4.994,4.421,4.479,4.745,11.581,11.28,0.669,2.754,12.817,11.059,5.864,5.555,5.151,7.538,1.138,7.06,8.168,4.64,5.796,13.454,11.646,8.645,5.109,6.222,12.859,11.069,6.134,8.895,3.125,3.733,1.772,3.098,8.833,6.413,8.629,10.587,14.246,4.506,3.813
41,11.032,16.613,15.659,1.47,0.0,2.425,3.615,14.081,7.908,7.922,10.285,1.518,2.071,11.374,15.5,16.222,10.708,8.776,20.588,10.203,11.545,12.273,2.724,6.444,13.361,9.5,9.759,9.161,4.555,4.813,5.949,6.215,13.051,12.75,2.139,1.74,11.346,12.529,7.334,7.025,6.622,9.008,1.448,8.53,9.639,3.723,4.879,14.924,13.116,10.115,6.405,7.693,14.329,12.539,7.605,10.365,3.11,5.143,3.242,4.569,7.363,4.943,10.099,12.058,15.716,3.589,2.896
42,13.457,19.038,18.084,3.895,2.425,0.0,6.04,16.506,10.333,10.347,12.71,2.205,3.523,13.799,17.925,18.647,13.133,11.201,23.013,12.628,13.97,14.698,1.629,4.019,15.786,7.075,7.334,11.586,6.98,7.238,8.374,8.64,15.476,15.175,4.564,1.141,8.921,14.954,9.759,9.45,9.047,11.433,2.757,10.955,12.063,4.41,6.965,17.349,15.541,12.54,8.83,10.118,16.754,14.964,10.03,12.79,5.534,7.568,5.667,6.994,4.938,2.687,12.524,14.483,18.141,5.132,5.205
43,7.417,12.998,12.044,2.183,3.615,6.04,0.0,10.466,4.293,4.307,6.67,4.459,2.517,7.759,11.885,12.607,7.093,5.161,16.973,6.588,7.93,8.657,6.339,10.059,9.746,13.115,13.374,5.546,2.811,2.238,2.334,2.6,9.436,9.135,1.957,4.899,14.961,8.914,3.719,3.41,3.007,5.393,3.283,4.915,6.023,4.432,3.613,11.309,9.501,6.5,2.926,4.078,10.714,8.924,3.99,6.75,0.942,1.55,1.661,1.257,10.978,8.558,6.484,8.442,12.101,2.323,1.63
45,3.049,2.532,1.578,12.611,14.081,16.506,10.466,0.0,6.173,6.159,4.186,14.925,12.983,2.707,1.418,2.141,3.373,5.305,6.507,3.878,2.536,1.809,16.805,20.525,2.332,23.581,23.841,4.92,9.526,9.268,8.132,7.866,1.03,1.331,11.942,15.365,25.428,3.439,6.747,7.056,7.46,5.073,13.749,5.551,4.443,14.898,9.541,0.843,1.566,3.966,7.677,6.389,1.409,1.542,6.477,3.716,10.972,8.939,10.839,9.513,21.444,19.025,5.076,2.877,1.635,11.374,11.301
48,5.398,8.705,7.751,6.438,7.908,10.333,4.293,6.173,0.0,0.889,2.377,8.751,6.81,4.215,7.592,8.314,2.8,1.07,12.681,3.339,3.637,4.365,10.632,14.352,5.453,17.408,17.667,3.563,3.352,3.095,1.958,1.692,5.143,4.843,5.768,9.191,19.254,4.621,1.488,2.084,1.286,1.927,7.576,2.576,1.731,8.725,3.368,7.016,5.209,4.523,2.681,0.745,6.421,5.905,3.004,2.457,4.798,2.765,4.665,3.339,15.271,12.851,2.191,4.15,7.808,5.201,5.127
