LocationID,centroid_lat,centroid_lon,macrozona
4,202959.7823911368,990633.980641048,0
12,195378.9728508775,979934.7305677244,2
13,198691.52543753176,979792.331028984,2
24,231458.3760559646,993807.2716583572,1
41,232321.2905475168,997734.6452331402,1
42,237395.8715478042,1000643.632259087,1
43,224356.21221165065,993789.009698532,1
45,198844.63611660185,984762.4692829204,2
48,216986.0700337488,987063.1857021254,0
50,218437.82028573463,985597.5343919232,0
68,211948.91240008167,984272.778632622,0
74,231170.7231356335,1001596.4822018786,1
75,227103.7596245498,999272.1113831652,1
79,204368.5018753222,988147.6579909977,0
87,196785.94084490492,982171.727891981,2
88,195528.9247992008,981057.2642958591,2
90,209708.74184834195,985089.2186553576,0
100,213801.8903360138,987356.7624025444,0
103,190614.3221264578,971690.5178691468,2
103,193859.36077724287,972944.834560436,2
103,190219.6738767188,978960.5655138264,2
107,207721.84599820204,988669.5907152938,0
113,206174.92383447656,985828.421266087,0
114,204630.6079875288,984976.121743974,2
116,240584.4096847475,998496.7141201992,1
120,247748.7275321737,1003566.2603626964,3
125,203883.8201161869,982175.1477564898,2
127,254822.37005747703,1006568.4872156872,3
128,257117.8925632856,1005166.552859076,3
137,209039.3538898732,990763.615736023,0
140,218166.4343533099,996787.6630546568,1
141,218699.1927268597,995431.1975186544,1
142,221132.7753491493,989365.0684741096,0
143,221982.0854933989,987671.7097013488,0
144,201915.7902757445,985104.1485227022,2
148,201205.26489160705,986773.5460915552,2
151,229997.644625548,993063.3768608609,1
152,237290.9067861937,997042.6288289689,1
153,258429.1415350053,1009034.6862684475,3
158,207069.85524818485,981760.163009758,2
161,215447.5272239114,990428.525989642,0
162,214959.58164229896,991908.589567896,0
163,217776.88244811285,990463.7954353758,0
164,212002.8930356689,988362.833435725,0
166,234186.3268721064,994834.7872526807,1
170,211701.31597992923,990209.600058688,0
186,211974.4462185665,986345.3986004688,0
194,227468.71626552643,1005129.3426642,1
202,216861.1622843492,998114.2657052308,1
209,197610.82357761072,983234.0457223996,2
211,203008.4913330032,983823.8071164908,2
224,205899.4175329161,990735.9403089168,0
229,214975.36687718585,993906.1723071608,0
230,216099.1397683868,988628.0600467024,0
231,200780.5404272513,982065.7013854686,2
232,199673.27702499644,988955.8875201414,0
233,212491.9358422481,992439.5608777382,0
234,209001.62663046308,986894.236796348,0
236,223613.7535760244,996155.3867656848,1
237,219305.82782555217,993769.0237137816,1
238,227717.51805898765,991712.7644413216,1
239,224895.87216479488,990167.498291722,0
243,251552.2286885309,1002830.5879831794,3
244,245939.88065875435,1000464.3110476532,3
246,213727.4000817298,983137.466109154,0
249,206902.40799528995,983453.2246483456,2
261,197635.1737024674,980639.5117675496,2
262,221974.400787808,999064.725082434,1
263,223005.98840944967,997817.919661102,1
