PUlocationID,DOlocationID,n_viajes,pct,pct_acum,frecuente_80,macrozona_origen,macrozona_destino
237.0,236.0,1960,0.006685312777133501,0.006685312777133501,True,1,1
236.0,237.0,1654,0.005641585374172863,0.012326898151306364,True,1,1
237.0,237.0,1413,0.004819564772494713,0.01714646292380108,True,1,1
236.0,236.0,1322,0.004509175250699229,0.021655638174500308,True,1,1
161.0,237.0,829,0.0028276144348182005,0.02448325260931851,True,0,1
239.0,142.0,774,0.0026400163721945562,0.027123268981513064,True,0,0
161.0,236.0,758,0.0025854423903404053,0.02970871137185347,True,0,1
237.0,161.0,716,0.0024421856879732586,0.03215089705982673,True,1,0
239.0,238.0,707,0.0024114878231802986,0.03456238488300703,True,0,1
142.0,239.0,691,0.0023569138413261476,0.03691929872433318,True,0,0
48.0,68.0,691,0.0023569138413261476,0.03927621256565933,True,0,0
186.0,230.0,685,0.002336448598130841,0.04161266116379017,True,0,0
141.0,236.0,670,0.0022852854901425747,0.04389794665393275,True,1,1
238.0,239.0,667,0.0022750528685449214,0.04617299952247767,True,1,0
237.0,162.0,648,0.0022102462650931166,0.04838324578757079,True,1,0
236.0,141.0,645,0.0022000136434954637,0.05058325943106626,True,1,1
263.0,236.0,631,0.0021522614093730814,0.05273552084043934,True,1,1
249.0,79.0,609,0.0020772221843236237,0.05481274302476296,True,2,0
79.0,79.0,602,0.0020533460672624328,0.056866089092025396,True,0,0
263.0,141.0,598,0.0020397025717988947,0.05890579166382429,True,1,1
236.0,239.0,594,0.002026059076335357,0.06093185074015965,True,1,0
162.0,237.0,582,0.0019851285899447437,0.0629169793301044,True,0,1
237.0,141.0,579,0.0019748959683470904,0.06489187529845149,True,1,1
237.0,263.0,567,0.0019339654819564773,0.06682584078040796,True,1,1
141.0,237.0,558,0.0019032676171635173,0.06872910839757147,True,1,1
239.0,236.0,555,0.001893034995565864,0.07062214339313734,True,0,1
239.0,239.0,554,0.0018896241216999796,0.07251176751483732,True,0,0
142.0,238.0,552,0.0018828023739682106,0.07439456988880552,True,0,1
79.0,107.0,551,0.0018793915001023263,0.07627396138890785,True,0,0
161.0,234.0,547,0.0018657480046387885,0.07813970939354664,True,0,0
68.0,48.0,545,0.0018589262569070196,0.07999863565045366,True,0,0
107.0,170.0,543,0.0018521045091752506,0.08185074015962891,True,0,0
262.0,236.0,528,0.0018009414011869842,0.0836516815608159,True,1,1
79.0,170.0,527,0.0017975305273210996,0.085449212088137,True,0,0
48.0,48.0,525,0.0017907087795893308,0.08723992086772632,True,0,0
68.0,68.0,520,0.0017736544102599087,0.08901357527798623,True,0,0
141.0,263.0,517,0.0017634217886622553,0.09077699706664849,True,1,1
236.0,161.0,516,0.0017600109147963708,0.09253700798144486,True,1,0
79.0,249.0,514,0.001753189167064602,0.09429019714850946,True,0,2
249.0,231.0,509,0.0017361347977351799,0.09602633194624464,True,2,2
236.0,238.0,506,0.0017259021761375265,0.09775223412238217,True,1,1
142.0,237.0,502,0.0017122586806739887,0.09946449280305615,True,0,1
237.0,142.0,496,0.001691793437478682,0.10115628624053483,True,1,0
238.0,142.0,489,0.001667917320417491,0.10282420356095232,True,1,0
141.0,141.0,489,0.001667917320417491,0.1044921208813698,True,1,1
236.0,262.0,489,0.001667917320417491,0.1061600382017873,True,1,1
161.0,164.0,487,0.001661095572685722,0.10782113377447301,True,0,0
236.0,142.0,482,0.0016440412033562998,0.10946517497782932,True,1,0
236.0,263.0,480,0.001637219455624531,0.11110239443345385,True,1,1
236.0,162.0,478,0.0016303977078927622,0.11273279214134661,True,1,0
234.0,170.0,471,0.001606521590831571,0.11433931373217819,True,0,0
186.0,107.0,470,0.0016031107169656865,0.11594242444914388,True,0,0
186.0,161.0,470,0.0016031107169656865,0.11754553516610956,True,0,0
163.0,237.0,465,0.0015860563476362644,0.11913159151374583,True,0,1
142.0,236.0,464,0.00158264547377038,0.12071423698751621,True,0,1
238.0,236.0,464,0.00158264547377038,0.12229688246128659,True,1,1
140.0,236.0,459,0.0015655911044409577,0.12386247356572755,True,1,1
162.0,236.0,458,0.0015621802305750734,0.12542465379630263,True,0,1
161.0,161.0,455,0.00155194760897742,0.12697660140528005,True,0,0
237.0,140.0,449,0.0015314823657821134,0.12850808377106215,True,1,1
163.0,236.0,448,0.0015280714919162289,0.13003615526297838,True,0,1
186.0,170.0,446,0.00152124974418446,0.13155740500716284,True,0,0
142.0,48.0,445,0.0015178388703185755,0.13307524387748143,True,0,0
230.0,186.0,445,0.0015178388703185755,0.13459308274780002,True,0,0
148.0,79.0,440,0.0015007845009891534,0.13609386724878916,True,2,0
68.0,230.0,439,0.001497373627123269,0.13759124087591243,True,0,0
263.0,237.0,436,0.0014871410055256158,0.13907838188143803,True,1,1
236.0,75.0,433,0.0014769083839279624,0.140555290265366,True,1,1
236.0,140.0,432,0.001473497510062078,0.14202878777542807,True,1,1
161.0,230.0,430,0.001466675762330309,0.14349546353775838,True,0,0
230.0,230.0,426,0.0014530322668667712,0.14494849580462515,True,0,0
237.0,229.0,426,0.0014530322668667712,0.14640152807149193,True,1,0
249.0,68.0,424,0.0014462105191350024,0.14784773859062694,True,2,0
229.0,237.0,424,0.0014462105191350024,0.14929394910976196,True,0,1
142.0,161.0,416,0.001418923528207927,0.1507128726379699,True,0,0
238.0,238.0,414,0.001412101780476158,0.15212497441844605,True,1,1
186.0,234.0,414,0.001412101780476158,0.1535370761989222,True,0,0
249.0,234.0,414,0.001412101780476158,0.15494917797939836,True,2,0
